source_platform,author_handle,title,text_snippet,published_at,days,phase,views,likes,engagement,content_category,author_type,url
youtube,Alek,The Claude A.I. Side Hustle Making People RICH,In this video I show you how to use Notion and Claude Ai to make your own versions of the best-selling planners to sell ,2026-02-16T16:00:32Z,11.0,Amplification,272098.0,7769,7990,tutorial_how_to,unknown,https://www.youtube.com/watch?v=PvzITkaXd9Q
youtube,mxks,ChatGPT vs Gemini 3 vs Claude Make Poppy Playtime From Scratch,"Today I challenged ChatGPT vs Gemini 3 vs Claude Make Poppy Playtime From Scratch... 2 of the AIs cooked massively, the ",2026-02-06T16:00:12Z,1.0,Launch Spike,319620.0,7671,7901,comparison_vs_chatgpt,unknown,https://www.youtube.com/watch?v=iOQZoao25iA
youtube,Alex Ziskind,I Ran Claude Code for FREE… Here&#39;s How,"Claude Code can now talk to a local model in LM Studio — I'll show you the one-file setup, plus the “gotcha” that decide",2026-02-14T17:29:11Z,9.0,Amplification,272677.0,7453,7846,claude_code_agentic,creator_blogger,https://www.youtube.com/watch?v=Cyn_Dm05_eU
youtube,98grados,Pagué las 4 IA más populares… y SOLO 1 Valió la Pena,Ｔｅｌｅｇｒａｍ: (cerrado) -- Ｉｎｓｔａｇｒａｍ: https://www.instagram.com/98granos/ Ｔｗｉｔｔｅｒ: ...,2026-02-06T00:30:34Z,1.0,Launch Spike,120900.0,7366,7768,other,unknown,https://www.youtube.com/watch?v=RWxmxnh7S_E
youtube,Corporate Finance Institute,Testing Claude in Excel: Building a Three-Statement Financial Model,"Artificial intelligence is beginning to change how financial models are built, tested, and maintained in Excel. Join Tim",2026-02-07T17:00:16Z,2.0,Launch Spike,341224.0,7233,7624,creator_demo,unknown,https://www.youtube.com/watch?v=BX2PxxM15Zc
youtube,tef,ChatGPT vs Gemini vs Claude Make RDR2 From Scratch,AI Makes Red Dead Redemption 2 (RDR2) From scratch NO GAME Engine. This was actually a pretty successful video *goofy ..,2026-02-19T20:19:05Z,14.0,Amplification,241210.0,7209,7585,comparison_vs_chatgpt,unknown,https://www.youtube.com/watch?v=E73NQd-uDhw
youtube,Tom Delalande,Claude Code Agents Are Completely Useless,Claude Code made a C compiler. And it's completely useless Sean Barrett: https://youtube.com/@SeanTBarrett.,2026-02-15T06:37:31Z,10.0,Amplification,138424.0,6837,7575,claude_code_agentic,unknown,https://www.youtube.com/watch?v=2_b8HM-OfMU
youtube,Oliur Online,Claude code is changing my life.,Check out Hostinger - http://hostinger.com/oliurvps Use code OLIUR10 for 10% off. My AI tools stack ...,2026-02-19T15:23:14Z,14.0,Amplification,168417.0,7299,7345,claude_code_agentic,developer,https://www.youtube.com/watch?v=QcTh1SEdA0Q
youtube,Matt Penny | Applied AI,How To Use Claude Code FREE Forever (Ollama Setup),Master the world's most in-demand skill in my Applied AI Mastermind: https://www.skool.com/applied-ai-mastermind-9612 In,2026-02-05T16:16:23Z,0.0,Launch Spike,265973.0,7056,7283,claude_code_agentic,creator_blogger,https://www.youtube.com/watch?v=gqYyZuO34x0
youtube,Tiago Forte,What Claude Cowork Actually Does (And Why It&#39;s Different),Get Started With Claude Cowork (FREE GUIDE): https://bit.ly/466YUul Claude Cowork is a brand new tool from Anthropic tha,2026-02-17T17:00:07Z,12.0,Amplification,357146.0,6875,7136,claude_features,creator_blogger,https://www.youtube.com/watch?v=_42sUaf037k
